image_filename,image_class
data\dogs\dog.3352.jpg,dog
data\dogs\dog.308.jpg,dog
data\dogs\dog.4727.jpg,dog
data\cats\cat.2863.jpg,cat
data\dogs\dog.1885.jpg,dog
data\dogs\dog.4383.jpg,dog
data\cats\cat.1264.jpg,cat
data\cats\cat.4103.jpg,cat
data\cats\cat.3640.jpg,cat
data\dogs\dog.4959.jpg,dog
data\dogs\dog.3254.jpg,dog
data\cats\cat.2587.jpg,cat
data\cats\cat.3113.jpg,cat
data\dogs\dog.1889.jpg,dog
data\dogs\dog.3106.jpg,dog
data\cats\cat.2885.jpg,cat
data\cats\cat.2611.jpg,cat
data\dogs\dog.1479.jpg,dog
data\cats\cat.132.jpg,cat
data\cats\cat.4047.jpg,cat
data\dogs\dog.1918.jpg,dog
data\cats\cat.4540.jpg,cat
data\dogs\dog.4099.jpg,dog
data\dogs\dog.4119.jpg,dog
data\cats\cat.4070.jpg,cat
data\dogs\dog.641.jpg,dog
data\cats\cat.4106.jpg,cat
data\cats\cat.1977.jpg,cat
data\cats\cat.2291.jpg,cat
data\cats\cat.3933.jpg,cat
data\dogs\dog.418.jpg,dog
data\dogs\dog.2180.jpg,dog
data\dogs\dog.4257.jpg,dog
data\dogs\dog.1614.jpg,dog
data\dogs\dog.2750.jpg,dog
data\cats\cat.4917.jpg,cat
data\dogs\dog.878.jpg,dog
data\cats\cat.1720.jpg,cat
data\dogs\dog.1908.jpg,dog
data\dogs\dog.1843.jpg,dog
data\cats\cat.1696.jpg,cat
data\cats\cat.4815.jpg,cat
data\cats\cat.2123.jpg,cat
data\cats\cat.1424.jpg,cat
data\cats\cat.4197.jpg,cat
data\cats\cat.314.jpg,cat
data\cats\cat.4119.jpg,cat
data\dogs\dog.2739.jpg,dog
data\dogs\dog.705.jpg,dog
data\dogs\dog.539.jpg,dog
data\dogs\dog.91.jpg,dog
data\cats\cat.1695.jpg,cat
data\dogs\dog.4467.jpg,dog
data\dogs\dog.2808.jpg,dog
data\dogs\dog.1836.jpg,dog
data\cats\cat.1859.jpg,cat
data\cats\cat.3287.jpg,cat
data\dogs\dog.4263.jpg,dog
data\dogs\dog.946.jpg,dog
data\dogs\dog.4569.jpg,dog
data\cats\cat.1897.jpg,cat
data\cats\cat.4035.jpg,cat
